"y_total_m_ha";"hoursWorkUsual";"age";"sex";"oficio";"relab";"college";"ocu";"clase";"cotPension";"cuentaPropia";"depto";"directorio";"dominio";"dsi";"estrato1";"formal";"fweight";"inac";"informal";"maxEducLevel";"mes";"pea";"pet";"sizeFirm";"wap";"regSalud";"age2";"ln_wage"
"105";3850.68383789062;72;45;1;58;1;1;1;1;1;0;11;4772574;"BOGOTA";0;2;1;289;0;0;6;11;1;1;5;1;1;2025;8.25600603174055
"106";7466.66650390625;15;44;0;55;4;0;1;1;2;1;11;4772574;"BOGOTA";0;2;0;289;0;1;4;11;1;1;1;1;1;1936;8.91820392737675
"107";1750;60;61;0;79;4;1;1;1;3;1;11;4772575;"BOGOTA";0;3;1;200;0;0;6;11;1;1;2;1;1;3721;7.46737106691756
"108";4542.884765625;48;38;0;59;3;0;1;1;1;0;11;4772576;"BOGOTA";0;2;1;241;0;0;7;11;1;1;1;1;1;1444;8.42131750017796
"109";5443.849609375;48;45;1;95;1;0;1;1;1;0;11;4772577;"BOGOTA";0;2;1;234;0;0;3;11;1;1;5;1;1;2025;8.60224173836682
"110";1428.57141113281;49;44;0;45;4;0;1;1;2;1;11;4772577;"BOGOTA";0;2;0;234;0;1;5;11;1;1;1;1;3;1936;7.26443021071384
"111";7050;70;34;0;58;2;0;1;1;1;0;11;4772578;"BOGOTA";0;3;1;402;0;0;7;11;1;1;5;1;2;1156;8.86078289580631
"112";7777.77783203125;90;61;0;21;5;0;1;1;2;0;11;4772578;"BOGOTA";0;3;0;402;0;1;4;11;1;1;2;1;1;3721;8.95902595067072
"113";4212.962890625;48;37;1;39;2;1;1;1;1;0;11;4772580;"BOGOTA";0;3;1;228;0;0;6;11;1;1;5;1;1;1369;8.34592145363854
"114";4212.962890625;48;32;0;54;3;1;1;1;1;0;11;4772580;"BOGOTA";0;3;1;228;0;0;6;11;1;1;1;1;1;1024;8.34592145363854
"115";1555.55554199219;30;42;0;91;4;1;1;1;2;1;11;4772581;"BOGOTA";0;2;0;179;0;1;6;11;1;1;1;1;3;1764;7.34958802254187
"116";466.666656494141;30;66;0;94;4;0;1;1;2;1;11;4772581;"BOGOTA";0;2;0;179;0;1;5;11;1;1;1;1;1;4356;6.14561520513697
"117";5499.5869140625;40;27;1;97;1;1;1;1;1;0;11;4772581;"BOGOTA";0;2;1;179;0;0;6;11;1;1;2;1;1;729;8.61242826186584
"118";3888.88891601562;48;44;1;87;4;0;1;1;2;1;11;4772581;"BOGOTA";0;2;0;179;0;1;5;11;1;1;1;1;3;1936;8.26587877011078
"119";6666.66650390625;42;49;1;85;4;0;1;1;1;1;11;4772582;"BOGOTA";0;2;0;274;0;1;5;11;1;1;1;1;3;2401;8.80487523945396
"120";2100;40;65;0;54;4;0;1;1;2;1;11;4772583;"BOGOTA";0;2;0;176;0;1;3;11;1;1;1;1;3;4225;7.64969262371151
"121";15798.611328125;48;53;1;21;1;0;1;1;1;0;11;4772583;"BOGOTA";0;2;1;176;0;0;5;11;1;1;4;1;1;2809;9.66767732452745
"122";12112.2685546875;48;26;1;3;1;0;1;1;1;0;11;4772583;"BOGOTA";0;2;1;176;0;0;7;11;1;1;4;1;1;676;9.40197414804433
"123";2800;40;48;0;79;4;0;1;1;2;1;11;4772583;"BOGOTA";0;2;0;176;0;1;5;11;1;1;1;1;1;2304;7.9373746961633
"124";10694.4443359375;48;28;1;3;1;1;1;1;1;0;11;4772583;"BOGOTA";0;2;1;176;0;0;6;11;1;1;4;1;1;784;9.27747966466771
"125";6667.2294921875;48;20;0;33;1;0;1;1;1;0;11;4772583;"BOGOTA";0;2;1;176;0;0;7;11;1;1;4;1;1;400;8.80495968413265
"126";4546.328125;48;18;0;32;1;1;1;1;1;0;11;4772583;"BOGOTA";0;2;1;176;0;0;6;11;1;1;4;1;1;324;8.42207518064626
"127";5441.4189453125;48;30;0;54;1;1;1;1;1;0;11;4772585;"BOGOTA";0;1;1;299;0;0;6;11;1;1;2;1;1;900;8.6017951413737
"128";8435.0537109375;48;22;1;2;1;1;1;1;1;0;11;4772585;"BOGOTA";0;1;1;299;0;0;6;11;1;1;5;1;1;484;9.04015136258724
"129";4839.50634765625;54;32;1;99;1;0;1;1;2;0;11;4772586;"BOGOTA";0;1;0;286;0;1;4;11;1;1;3;1;3;1024;8.48456800022301
"130";4830.29443359375;42;39;0;95;1;0;1;1;1;0;11;4772587;"BOGOTA";0;1;1;528;0;0;4;11;1;1;5;1;1;1521;8.48266270412485
"131";4612.4033203125;43;42;1;95;1;0;1;1;2;0;11;4772587;"BOGOTA";0;1;0;528;0;1;5;11;1;1;2;1;3;1764;8.43650432776326
"132";7000;60;50;0;41;5;1;1;1;2;0;11;4772588;"BOGOTA";0;3;0;310;0;1;6;11;1;1;2;1;1;2500;8.85366542803745
"133";21583.333984375;40;24;0;6;4;0;1;1;1;1;11;4772588;"BOGOTA";0;3;1;310;0;0;7;11;1;1;5;1;1;576;9.97967672105777
"134";8750;48;69;1;21;5;0;1;1;2;0;11;4772588;"BOGOTA";0;3;0;310;0;1;7;11;1;1;2;1;1;4761;9.07680897935166
"135";1750;60;42;0;53;1;0;1;1;2;0;11;4772589;"BOGOTA";0;1;0;342;0;1;4;11;1;1;2;1;3;1764;7.46737106691756
"136";3333.33325195312;70;25;1;57;4;0;1;1;2;1;11;4772589;"BOGOTA";0;1;0;342;0;1;5;11;1;1;2;1;1;625;8.11172805889401
"137";340277.78125;48;30;0;19;4;0;1;1;1;1;11;4772590;"BOGOTA";0;3;1;257;0;0;7;11;1;1;5;1;1;900;12.737517566703
"138";19444.4453125;48;37;1;21;1;0;1;1;1;0;11;4772590;"BOGOTA";0;3;1;257;0;0;7;11;1;1;5;1;1;1369;9.87531672021229
"139";7899.3056640625;48;52;1;3;1;0;1;1;1;0;11;4772591;"BOGOTA";0;4;1;199;0;0;7;11;1;1;4;1;1;2704;8.97453014396751
"140";4952.87744140625;48;38;1;58;1;1;1;1;1;0;11;4772592;"BOGOTA";0;3;1;298;0;0;6;11;1;1;5;1;1;1444;8.50772398796678
"141";875;40;34;0;94;4;0;1;1;2;1;11;4772592;"BOGOTA";0;3;0;298;0;1;4;11;1;1;1;1;1;1156;6.77422388635761
"142";2764.56860351562;84;36;1;80;1;0;1;1;1;0;11;4772593;"BOGOTA";0;2;1;298;0;0;3;11;1;1;3;1;1;1296;7.92463988135563
"143";32002.31640625;48;52;1;21;2;0;1;1;1;0;11;4772595;"BOGOTA";0;3;1;263;0;0;7;11;1;1;5;1;1;2704;10.3735635668573
"144";4131.9443359375;48;38;0;45;1;1;1;1;2;0;11;4772596;"BOGOTA";0;3;0;314;0;1;6;11;1;1;2;1;1;1444;8.32650335869126
"145";58333.33203125;48;40;0;13;1;0;1;1;1;0;11;4772598;"BOGOTA";0;6;1;363;0;0;7;11;1;1;4;1;1;1600;10.9739289419161
"146";9722.22265625;48;37;1;98;4;0;1;1;1;1;11;4772599;"BOGOTA";0;6;1;308;0;0;7;11;1;1;1;1;1;1369;9.18216953965234
"147";1866.66662597656;50;42;0;45;4;0;1;1;2;1;11;4772603;"BOGOTA";0;1;0;281;0;1;3;11;1;1;1;1;3;1764;7.53190956625686
"148";45500;40;53;0;21;1;0;1;1;1;0;11;4772604;"BOGOTA";0;6;1;228;0;0;7;11;1;1;5;1;1;2809;10.725467604939
"149";4361.36376953125;50;38;1;79;1;0;1;1;1;0;11;4772613;"BOGOTA";0;2;1;263;0;0;1;11;1;1;4;1;1;1444;8.38054007861101
"150";4510.072265625;48;58;0;39;1;0;1;1;1;0;11;4774761;"BOGOTA";0;3;1;180;0;0;4;11;1;1;4;1;1;3364;8.41406845578853
"151";4861.111328125;48;39;0;21;1;0;1;1;1;0;11;4774761;"BOGOTA";0;3;1;180;0;0;7;11;1;1;2;1;1;1521;8.4890223590924
"152";64838.52734375;48;19;0;33;1;1;1;1;1;0;11;4774761;"BOGOTA";0;3;1;180;0;0;6;11;1;1;5;1;1;361;11.0796552634348
"153";5416.16259765625;72;28;0;53;2;0;1;1;1;0;11;4774762;"BOGOTA";0;3;1;282;0;0;7;11;1;1;5;1;1;784;8.5971428358653
"154";4166.66650390625;112;31;1;45;4;0;1;1;2;1;11;4775958;"BOGOTA";0;3;0;311;0;1;5;11;1;1;2;1;3;961;8.33487159555978
"155";4530.3271484375;48;23;0;33;1;0;1;1;1;0;11;4775959;"BOGOTA";0;2;1;234;0;0;7;11;1;1;4;1;1;529;8.41854943406759
"156";4530.3271484375;48;28;1;39;1;0;1;1;1;0;11;4775959;"BOGOTA";0;2;1;234;0;0;4;11;1;1;4;1;1;784;8.41854943406759
"157";11666.6669921875;24;50;1;13;4;0;1;1;2;1;11;4775960;"BOGOTA";0;3;0;274;0;1;7;11;1;1;5;1;1;2500;9.36449107970523
"158";4546.328125;48;59;0;45;1;0;1;1;1;0;11;4775961;"BOGOTA";0;2;1;132;0;0;5;11;1;1;2;1;1;3481;8.42207518064626
"159";7777.77783203125;24;51;1;99;4;0;1;1;2;1;11;4775961;"BOGOTA";0;2;0;132;0;1;4;11;1;1;1;1;3;2601;8.95902595067072
